team,player,matches,goals,assists
France,Kylian Mbappé,8,10,4
Argentina,Lionel Messi,7,8,4
England,Jude Bellingham,8,7,1
Norway,Erling Haaland,5,7,0
France,Ousmane Dembélé,8,6,2
England,Harry Kane,7,6,1
Spain,Mikel Oyarzabal,7,5,1
Brazil,Vinícius Júnior,5,4,1
Mexico,Julián Quiñones,5,4,1
Senegal,Ismaïla Sarr,4,4,1
France,Bradley Barcola,8,3,1
England,Bukayo Saka,7,3,3
Argentina,Lautaro Martínez,7,3,1
Belgium,Romelu Lukaku,6,3,1
Portugal,Cristiano Ronaldo,5,3,0
Canada,Jonathan David,5,3,0
Morocco,Ismael Saibari,5,3,0
Belgium,Charles De Ketelaere,5,3,1
Brazil,Matheus Cunha,5,3,0
Netherlands,Cody Gakpo,4,3,1
Congo DR,Yoane Wissa,4,3,0
Germany,Kai Havertz,4,3,0
Mexico,Raúl Jiménez,4,3,0
United States,Folarin Balogun,4,3,0
Netherlands,Brian Brobbey,4,3,0
Switzerland,Johan Manzambi,4,3,2
Germany,Deniz Undav,4,3,2
New Zealand,Elijah Just,3,3,0
Spain,Mikel Merino,7,2,0
Argentina,Enzo Fernández,6,2,0
Belgium,Leandro Trossard,6,2,2
Switzerland,Breel Embolo,6,2,2
Belgium,Youri Tielemans,6,2,0
Morocco,Azzedine Ounahi,6,2,0
Switzerland,Dan Ndoye,6,2,0
Switzerland,Rubén Vargas,6,2,1
Morocco,Soufiane Rahimi,6,2,1
Spain,Pedro Porro,5,2,0
Colombia,Daniel Muñoz,5,2,0
Egypt,Mostafa Zico,5,2,1
Egypt,Emam Ashour,5,2,0
United States,Malik Tillman,5,2,1
Sweden,Yasin Ayari,4,2,0
Japan,Daichi Kamada,4,2,0
Japan,Ayase Ueda,4,2,1
Algeria,Riyad Mahrez,4,2,1
Netherlands,Crysencio Summerville,4,2,2
Senegal,Pape Gueye,4,2,1
Ivory Coast,Nicolas Pépé,4,2,1
Sweden,Anthony Elanga,4,2,0
France,Michael Olise,8,0,7
Morocco,Brahim Díaz,6,0,4
Norway,Martin Ødegaard,5,0,4
Brazil,Bruno Guimarães,5,0,4
England,Anthony Gordon,6,1,3
Norway,Andreas Schjelderup,6,1,3
Mexico,Roberto Alvarado,5,0,3
Germany,Florian Wirtz,4,0,3
Sweden,Alexander Isak,4,1,3
Spain,Marc Cucurella,7,0,2
England,Declan Rice,7,1,2
Spain,Dani Olmo,7,0,2
Morocco,Achraf Hakimi,6,1,2
Norway,Patrick Berg,6,0,2
Belgium,Nicolas Raskin,6,0,2
Belgium,Hans Vanaken,6,1,2
Egypt,Mohamed Salah,5,1,2
Paraguay,Julio Enciso,5,1,2
Netherlands,Denzel Dumfries,4,0,2
Sweden,Viktor Gyökeres,4,1,2
Germany,Joshua Kimmich,4,0,2
Netherlands,Ryan Gravenberch,4,0,2
Tunisia,Hannibal Mejbri,3,0,2
New Zealand,Chris Wood,3,0,2
Canada,Nathan Saliba,3,1,2
Algeria,Houssem Aouar,3,0,2
Senegal,Iliman Ndiaye,3,1,2
France,Dayot Upamecano,8,0,1
England,Elliot Anderson,8,0,1
France,Désiré Doué,8,1,1
Argentina,Alexis Mac Allister,7,1,1
Spain,Aymeric Laporte,7,0,1
France,Adrien Rabiot,7,0,1
England,Morgan Rogers,7,0,1
Spain,Ferran Torres,7,0,1
Argentina,Lisandro Martínez,6,1,1
